"WorkItemType","FieldName","ReferenceName","Type","Required","ReadOnly","Inherited"
"Test Case","Watermark","System.Watermark","integer",,,
"Issue","Watermark","System.Watermark","integer",,,
"Change Request","Watermark","System.Watermark","integer",,,
"Test Suite","Watermark","System.Watermark","integer",,,
"Bug","Watermark","System.Watermark","integer",,,
"Epic","Watermark","System.Watermark","integer",,,
"Test Plan","Watermark","System.Watermark","integer",,,
"Task","Watermark","System.Watermark","integer",,,
"Requirement","Watermark","System.Watermark","integer",,,
"Review","Watermark","System.Watermark","integer",,,
"Risk","Watermark","System.Watermark","integer",,,
"Feature","Watermark","System.Watermark","integer",,,
"Requirement","Work Item Type","System.WorkItemType","string",,,
"Epic","Work Item Type","System.WorkItemType","string",,,
"Test Plan","Work Item Type","System.WorkItemType","string",,,
"Review","Work Item Type","System.WorkItemType","string",,,
"Task","Work Item Type","System.WorkItemType","string",,,
"Risk","Work Item Type","System.WorkItemType","string",,,
"Test Suite","Work Item Type","System.WorkItemType","string",,,
"Issue","Work Item Type","System.WorkItemType","string",,,
"Feature","Work Item Type","System.WorkItemType","string",,,
"Test Case","Work Item Type","System.WorkItemType","string",,,
"Bug","Work Item Type","System.WorkItemType","string",,,
"Change Request","Work Item Type","System.WorkItemType","string",,,
